summarize,embed,dim,rmse
kobart,kobart,Default,1.065481460094452
kobart,kobart,64,0.936614042520523
kobart,kobart,32,1.0254426777362824
kobart,kobart,8,1.0776273965835572
kobart,tfidf,Default,1.5021424412727356
kobart,tfidf,64,1.0773091554641723
kobart,tfidf,32,1.0101178884506226
kobart,tfidf,8,1.1394004106521607
kobart,word2vec,Default,0.958190530538559
kobart,word2vec,64,1.0518710792064667
kobart,word2vec,32,1.1288222432136537
kobart,word2vec,8,0.9948868572711944
lexrank,kobart,Default,1.1931640207767487
lexrank,kobart,64,0.9989735066890717
lexrank,kobart,32,1.0194668233394624
lexrank,kobart,8,1.0812542140483856
lexrank,tfidf,Default,1.3715493202209472
lexrank,tfidf,64,1.0930187463760377
lexrank,tfidf,32,1.0516134440898894
lexrank,tfidf,8,1.0674763679504395
lexrank,word2vec,Default,1.0132575809955597
lexrank,word2vec,64,0.9610263168811798
lexrank,word2vec,32,1.034955084323883
lexrank,word2vec,8,1.0734064340591432
gpt,kobart,Default,1.1366715610027314
gpt,kobart,64,0.9929200947284699
gpt,kobart,32,1.0198825657367707
gpt,kobart,8,1.0720441401004792
gpt,tfidf,Default,1.4304514288902284
gpt,tfidf,64,1.014818114042282
gpt,tfidf,32,0.9929119288921356
gpt,tfidf,8,1.1811524510383606
gpt,word2vec,Default,0.9537515223026276
gpt,word2vec,64,0.9610467255115509
gpt,word2vec,32,1.017488318681717
gpt,word2vec,8,1.0647620916366578
None,None,Default,1.1588044703006743
